id,customer_code,first_name,last_name,email,phone,gender,date_of_birth,city,country,segment,registered_date,is_active,created_at,updated_at
13,CUST-00013,Kiên,Nguyễn,kien.nguyen3861@outlook.com,0347199497,Other,1996-08-02,TP. Hồ Chí Minh,Vietnam,Consumer,2023-01-21,1,2023-01-21 09:00:00,2023-01-21 09:00:00
14,CUST-00014,Đức,Đinh,duc.dinh8955@yahoo.com,0844996966,Male,1990-08-25,Nha Trang,Vietnam,Consumer,2023-04-29,1,2023-04-29 09:00:00,2023-04-29 09:00:00
15,CUST-00015,Khải,Nguyễn,khải.nguyen1121@outlook.com,0385346607,Other,1997-05-10,TP. Hồ Chí Minh,Vietnam,Home Office,2024-09-13,1,2024-09-13 09:00:00,2024-09-13 09:00:00
16,CUST-00016,Tâm,Phan,tam.phan4928@gmail.com,0844775688,Male,1964-04-15,Nha Trang,Vietnam,Consumer,2024-05-14,1,2024-05-14 09:00:00,2024-05-14 09:00:00
17,CUST-00017,Trúc,Nguyễn,truc.nguyen8741@yahoo.com,0336978999,Other,1976-10-18,TP. Hồ Chí Minh,Vietnam,Corporate,2023-12-21,1,2023-12-21 09:00:00,2023-12-21 09:00:00
18,CUST-00018,Minh,Phan,minh.phan7244@outlook.com,0783094515,Other,1996-05-02,Hạ Long,Vietnam,Consumer,2023-01-14,1,2023-01-14 09:00:00,2023-01-14 09:00:00
19,CUST-00019,Linh,Đỗ,linh.do2002@yahoo.com,0978379900,Other,1983-12-25,Nha Trang,Vietnam,Consumer,2023-08-03,1,2023-08-03 09:00:00,2023-08-03 09:00:00
20,CUST-00020,Dũng,Đỗ,dũng.do2623@hotmail.com,0391187656,Other,1964-03-17,Hải Phòng,Vietnam,Consumer,2023-10-09,1,2023-10-09 09:00:00,2023-10-09 09:00:00
21,CUST-00021,Tùng,Vũ,tung.vũ8833@gmail.com,0964744309,Male,1991-01-15,TP. Hồ Chí Minh,Vietnam,Home Office,2024-10-20,1,2024-10-20 09:00:00,2024-10-20 09:00:00
22,CUST-00022,Thanh,Dương,thanh.duong4390@hotmail.com,0829083572,Other,1985-07-11,TP. Hồ Chí Minh,Vietnam,Corporate,2023-06-03,1,2023-06-03 09:00:00,2023-06-03 09:00:00
23,CUST-00023,Nhi,Ngô,nhi.ngo2862@hotmail.com,0332964991,Female,2003-08-04,Đà Lạt,Vietnam,Corporate,2023-09-21,1,2023-09-21 09:00:00,2023-09-21 09:00:00
24,CUST-00024,Nhi,Trần,nhi.tran2774@outlook.com,0949387138,Other,1995-12-08,Cần Thơ,Vietnam,Corporate,2024-04-14,1,2024-04-14 09:00:00,2024-04-14 09:00:00
25,CUST-00025,Hùng,Phạm,hung.phạm6364@yahoo.com,0779058482,Other,1972-04-25,Hải Phòng,Vietnam,Consumer,2024-09-20,1,2024-09-20 09:00:00,2024-09-20 09:00:00
26,CUST-00026,Quỳnh,Lê,quynh.le6687@gmail.com,0583384178,Female,1990-05-20,Đà Nẵng,Vietnam,Consumer,2024-06-07,1,2024-06-07 09:00:00,2024-06-07 09:00:00
27,CUST-00027,Khánh,Đinh,khanh.dinh4481@hotmail.com,0818999360,Female,1977-09-25,Đà Nẵng,Vietnam,Corporate,2024-07-14,1,2024-07-14 09:00:00,2024-07-14 09:00:00
28,CUST-00028,Nhung,Phạm,nhung.phạm3681@yahoo.com,0766179480,Female,1980-12-12,Buôn Ma Thuột,Vietnam,Corporate,2023-10-04,1,2023-10-04 09:00:00,2023-10-04 09:00:00
29,CUST-00029,Vĩnh,Trịnh,vĩnh.trịnh85@outlook.com,0338345037,Male,1969-11-13,Bình Dương,Vietnam,Consumer,2023-06-05,0,2023-06-05 09:00:00,2023-06-05 09:00:00
30,CUST-00030,Trúc,Dương,truc.duong3674@hotmail.com,0810634051,Female,1987-03-08,Quy Nhơn,Vietnam,Consumer,2023-03-31,0,2023-03-31 09:00:00,2023-03-31 09:00:00
31,CUST-00031,Vy,Dương,vy.duong5758@hotmail.com,0866726368,Other,1981-11-10,Hạ Long,Vietnam,Home Office,2023-03-10,1,2023-03-10 09:00:00,2023-03-10 09:00:00
32,CUST-00032,Ngọc,Dương,ngọc.duong9314@outlook.com,0984918017,Female,1960-02-14,Hà Nội,Vietnam,Consumer,2023-07-21,1,2023-07-21 09:00:00,2023-07-21 09:00:00
33,CUST-00033,Hoa,Nguyễn,hoa.nguyen3385@hotmail.com,0790207073,Female,1992-01-08,Đà Nẵng,Vietnam,Home Office,2023-04-18,0,2023-04-18 09:00:00,2023-04-18 09:00:00
34,CUST-00034,Sơn,Ngô,son.ngo938@outlook.com,0580098936,Other,1988-03-03,Hải Phòng,Vietnam,Consumer,2023-01-17,0,2023-01-17 09:00:00,2023-01-17 09:00:00
35,CUST-00035,Toàn,Ngô,toan.ngo9344@yahoo.com,0939451068,Male,1968-02-13,TP. Hồ Chí Minh,Vietnam,Corporate,2024-09-23,1,2024-09-23 09:00:00,2024-09-23 09:00:00
36,CUST-00036,Mai,Lê,mai.le4763@gmail.com,0861397552,Other,1997-02-07,Biên Hòa,Vietnam,Consumer,2023-05-26,1,2023-05-26 09:00:00,2023-05-26 09:00:00
37,CUST-00037,Vy,Dương,vy.duong1922@gmail.com,0868543627,Male,1993-08-07,Buôn Ma Thuột,Vietnam,Consumer,2023-01-28,0,2023-01-28 09:00:00,2023-01-28 09:00:00
38,CUST-00038,Vĩnh,Hoàng,vĩnh.hoang2465@outlook.com,0903817359,Other,1992-05-23,Hải Phòng,Vietnam,Corporate,2024-07-24,1,2024-07-24 09:00:00,2024-07-24 09:00:00
39,CUST-00039,Linh,Lý,linh.ly3651@hotmail.com,0373861595,Female,2005-10-23,Hà Nội,Vietnam,Corporate,2023-11-26,1,2023-11-26 09:00:00,2023-11-26 09:00:00
40,CUST-00040,Châu,Trịnh,chau.trịnh277@outlook.com,0369184409,Female,1979-06-17,Hà Nội,Vietnam,Home Office,2023-02-12,0,2023-02-12 09:00:00,2023-02-12 09:00:00
41,CUST-00041,Quỳnh,Võ,quynh.võ3435@outlook.com,0333057925,Female,1973-04-08,Nha Trang,Vietnam,Corporate,2024-05-24,1,2024-05-24 09:00:00,2024-05-24 09:00:00
42,CUST-00042,Khải,Ngô,khải.ngo6934@hotmail.com,0986584042,Other,1964-11-02,Huế,Vietnam,Corporate,2024-08-16,1,2024-08-16 09:00:00,2024-08-16 09:00:00
43,CUST-00043,Trọng,Đặng,trọng.dang9812@hotmail.com,0358924195,Male,1979-03-21,Thái Bình,Vietnam,Corporate,2023-05-17,1,2023-05-17 09:00:00,2023-05-17 09:00:00
44,CUST-00044,Vy,Lê,vy.le6800@outlook.com,0919156630,Female,1990-07-23,Nha Trang,Vietnam,Consumer,2023-08-27,1,2023-08-27 09:00:00,2023-08-27 09:00:00
45,CUST-00045,Trinh,Võ,trinh.võ6745@gmail.com,0969745979,Female,1995-12-25,TP. Hồ Chí Minh,Vietnam,Consumer,2023-08-11,1,2023-08-11 09:00:00,2023-08-11 09:00:00
46,CUST-00046,Thiên,Phan,thien.phan3484@hotmail.com,0940146715,Male,2001-09-17,Hà Nội,Vietnam,Home Office,2023-05-19,0,2023-05-19 09:00:00,2023-05-19 09:00:00
47,CUST-00047,Hải,Tô,hải.to3721@hotmail.com,0379187937,Male,1987-11-05,TP. Hồ Chí Minh,Vietnam,Corporate,2023-06-10,0,2023-06-10 09:00:00,2023-06-10 09:00:00
48,CUST-00048,Phương,Đặng,phuong.dang5993@hotmail.com,0826358731,Female,1976-12-20,Hà Nội,Vietnam,Home Office,2023-04-04,0,2023-04-04 09:00:00,2023-04-04 09:00:00
49,CUST-00049,Giang,Nguyễn,giang.nguyen3251@outlook.com,0814545956,Female,1958-02-03,Bình Dương,Vietnam,Consumer,2023-08-25,1,2023-08-25 09:00:00,2023-08-25 09:00:00
50,CUST-00050,Trinh,Lý,trinh.ly7668@outlook.com,0364014843,Female,1961-07-05,Hạ Long,Vietnam,Corporate,2023-03-10,1,2023-03-10 09:00:00,2023-03-10 09:00:00
51,CUST-00051,Yến,Huỳnh,yen.huynh2102@outlook.com,0385117882,Female,1974-06-12,Hải Phòng,Vietnam,Consumer,2023-09-13,1,2023-09-13 09:00:00,2023-09-13 09:00:00
52,CUST-00052,Bảo,Đỗ,bảo.do3878@gmail.com,0370068652,Male,1959-11-10,TP. Hồ Chí Minh,Vietnam,Consumer,2023-02-04,0,2023-02-04 09:00:00,2023-02-04 09:00:00
53,CUST-00053,Bích,Hồ,bich.ho7149@yahoo.com,0904081927,Female,2003-09-06,TP. Hồ Chí Minh,Vietnam,Consumer,2023-03-12,0,2023-03-12 09:00:00,2023-03-12 09:00:00
54,CUST-00054,Thành,Phan,thanh.phan4765@gmail.com,0814157718,Other,1994-03-05,Hà Nội,Vietnam,Consumer,2023-09-15,1,2023-09-15 09:00:00,2023-09-15 09:00:00
55,CUST-00055,Hải,Phạm,hải.phạm571@gmail.com,0816269696,Male,1991-12-27,Hạ Long,Vietnam,Consumer,2024-04-10,1,2024-04-10 09:00:00,2024-04-10 09:00:00
56,CUST-00056,Thảo,Phan,thảo.phan4650@hotmail.com,0581972040,Female,1969-05-05,Bắc Ninh,Vietnam,Home Office,2023-08-09,1,2023-08-09 09:00:00,2023-08-09 09:00:00
57,CUST-00057,Nam,Phan,nam.phan718@yahoo.com,0327661706,Other,1994-12-09,Nha Trang,Vietnam,Consumer,2024-02-16,1,2024-02-16 09:00:00,2024-02-16 09:00:00
58,CUST-00058,Mai,Bùi,mai.bui5131@gmail.com,0776569836,Female,1959-10-21,TP. Hồ Chí Minh,Vietnam,Corporate,2023-11-28,1,2023-11-28 09:00:00,2023-11-28 09:00:00
59,CUST-00059,Trọng,Vũ,trọng.vũ138@hotmail.com,0763979842,Other,2005-05-05,Hà Nội,Vietnam,Consumer,2023-05-08,1,2023-05-08 09:00:00,2023-05-08 09:00:00
60,CUST-00060,Mỹ,Đặng,my.dang9648@hotmail.com,0358594849,Other,1982-03-12,Hà Nội,Vietnam,Consumer,2023-11-22,1,2023-11-22 09:00:00,2023-11-22 09:00:00
61,CUST-00061,Ngân,Bùi,ngan.bui5745@gmail.com,0853587271,Female,1999-07-26,Đà Nẵng,Vietnam,Home Office,2023-01-22,1,2023-01-22 09:00:00,2023-01-22 09:00:00
62,CUST-00062,Lam,Hồ,lam.ho8532@outlook.com,0357273406,Female,1974-02-08,Hải Phòng,Vietnam,Home Office,2023-12-04,1,2023-12-04 09:00:00,2023-12-04 09:00:00
63,CUST-00063,Trọng,Dương,trọng.duong1302@outlook.com,0707490668,Male,1963-09-11,Hải Phòng,Vietnam,Consumer,2024-01-17,1,2024-01-17 09:00:00,2024-01-17 09:00:00
64,CUST-00064,Long,Đỗ,long.do5458@outlook.com,0388356999,Other,1967-01-27,Đà Nẵng,Vietnam,Consumer,2023-12-26,1,2023-12-26 09:00:00,2023-12-26 09:00:00
65,CUST-00065,Bích,Phạm,bich.phạm230@gmail.com,0324587242,Female,1977-12-23,Biên Hòa,Vietnam,Consumer,2024-10-18,1,2024-10-18 09:00:00,2024-10-18 09:00:00
66,CUST-00066,Khoa,Ngô,khoa.ngo4786@outlook.com,0896476695,Male,1990-12-01,Đà Lạt,Vietnam,Consumer,2024-05-23,1,2024-05-23 09:00:00,2024-05-23 09:00:00
67,CUST-00067,Trinh,Hồ,trinh.ho3058@yahoo.com,0399724843,Other,2004-01-20,Cần Thơ,Vietnam,Corporate,2023-06-29,0,2023-06-29 09:00:00,2023-06-29 09:00:00
68,CUST-00068,Trúc,Huỳnh,truc.huynh9854@hotmail.com,0762824197,Female,1960-05-06,Hải Phòng,Vietnam,Corporate,2023-05-10,0,2023-05-10 09:00:00,2023-05-10 09:00:00
69,CUST-00069,Ánh,Đặng,anh.dang6497@outlook.com,0815575310,Other,1985-09-20,Quy Nhơn,Vietnam,Home Office,2023-04-16,0,2023-04-16 09:00:00,2023-04-16 09:00:00
70,CUST-00070,Khoa,Ngô,khoa.ngo7838@yahoo.com,0964671776,Male,1996-02-10,Hạ Long,Vietnam,Consumer,2024-02-12,1,2024-02-12 09:00:00,2024-02-12 09:00:00
71,CUST-00071,Ngân,Hồ,ngan.ho7399@outlook.com,0775546068,Other,1984-01-12,TP. Hồ Chí Minh,Vietnam,Corporate,2023-07-04,1,2023-07-04 09:00:00,2023-07-04 09:00:00
72,CUST-00072,Ngọc,Huỳnh,ngọc.huynh4801@gmail.com,0382818012,Other,1975-11-09,Huế,Vietnam,Consumer,2023-05-09,0,2023-05-09 09:00:00,2023-05-09 09:00:00
73,CUST-00073,Thủy,Đỗ,thủy.do7403@hotmail.com,0966036324,Other,1970-03-16,Hà Nội,Vietnam,Corporate,2024-02-19,1,2024-02-19 09:00:00,2024-02-19 09:00:00
74,CUST-00074,Toàn,Đoàn,toan.doan518@yahoo.com,0706914193,Male,1964-01-09,Biên Hòa,Vietnam,Consumer,2024-01-28,1,2024-01-28 09:00:00,2024-01-28 09:00:00
75,CUST-00075,Trọng,Đoàn,trọng.doan7245@outlook.com,0816341085,Other,1991-09-10,TP. Hồ Chí Minh,Vietnam,Corporate,2023-03-06,1,2023-03-06 09:00:00,2023-03-06 09:00:00
76,CUST-00076,Phong,Bùi,phong.bui2563@yahoo.com,0946229258,Other,2005-05-08,Thái Bình,Vietnam,Corporate,2024-03-02,1,2024-03-02 09:00:00,2024-03-02 09:00:00
77,CUST-00077,Bích,Phan,bich.phan5108@hotmail.com,0565787133,Other,1972-10-08,Hà Nội,Vietnam,Consumer,2023-10-11,1,2023-10-11 09:00:00,2023-10-11 09:00:00
78,CUST-00078,Giang,Trịnh,giang.trịnh3548@gmail.com,0979660186,Female,1992-08-14,Vinh,Vietnam,Home Office,2023-10-22,1,2023-10-22 09:00:00,2023-10-22 09:00:00
79,CUST-00079,Bích,Đoàn,bich.doan6371@hotmail.com,0358153523,Female,1961-06-02,Buôn Ma Thuột,Vietnam,Consumer,2024-02-18,1,2024-02-18 09:00:00,2024-02-18 09:00:00
80,CUST-00080,Châu,Dương,chau.duong3139@yahoo.com,0941499970,Female,1975-04-21,TP. Hồ Chí Minh,Vietnam,Consumer,2023-01-22,1,2023-01-22 09:00:00,2023-01-22 09:00:00
81,CUST-00081,Vy,Phạm,vy.phạm2201@outlook.com,0351824493,Other,1974-09-16,Nha Trang,Vietnam,Consumer,2023-11-21,1,2023-11-21 09:00:00,2023-11-21 09:00:00
82,CUST-00082,Ánh,Phan,anh.phan9307@hotmail.com,0707388724,Other,1970-05-08,TP. Hồ Chí Minh,Vietnam,Consumer,2023-01-14,1,2023-01-14 09:00:00,2023-01-14 09:00:00
83,CUST-00083,Mỹ,Phạm,my.phạm356@outlook.com,0792506929,Female,1965-03-27,Đà Nẵng,Vietnam,Consumer,2023-12-08,1,2023-12-08 09:00:00,2023-12-08 09:00:00
84,CUST-00084,Trúc,Trần,truc.tran7975@hotmail.com,0987465857,Other,1981-02-25,Hải Phòng,Vietnam,Consumer,2023-11-03,1,2023-11-03 09:00:00,2023-11-03 09:00:00
85,CUST-00085,Trúc,Phạm,truc.phạm4770@hotmail.com,0395501935,Female,1959-02-24,TP. Hồ Chí Minh,Vietnam,Consumer,2023-03-23,1,2023-03-23 09:00:00,2023-03-23 09:00:00
86,CUST-00086,Tuấn,Dương,tuan.duong5179@gmail.com,0865183479,Male,1961-06-15,Hà Nội,Vietnam,Corporate,2023-08-29,1,2023-08-29 09:00:00,2023-08-29 09:00:00
87,CUST-00087,Diệu,Trần,dieu.tran9593@hotmail.com,0344909100,Female,2000-10-28,Cần Thơ,Vietnam,Consumer,2023-12-31,1,2023-12-31 09:00:00,2023-12-31 09:00:00
88,CUST-00088,Quân,Dương,quan.duong6137@outlook.com,0560617906,Male,2004-02-11,Huế,Vietnam,Home Office,2023-01-25,1,2023-01-25 09:00:00,2023-01-25 09:00:00
89,CUST-00089,Thủy,Tô,thủy.to6590@hotmail.com,0383092356,Other,1959-08-20,TP. Hồ Chí Minh,Vietnam,Home Office,2023-09-08,1,2023-09-08 09:00:00,2023-09-08 09:00:00
90,CUST-00090,Hùng,Dương,hung.duong7070@hotmail.com,0384933965,Other,1969-08-07,Hà Nội,Vietnam,Corporate,2024-01-21,1,2024-01-21 09:00:00,2024-01-21 09:00:00
91,CUST-00091,Phong,Lê,phong.le2709@outlook.com,0913834106,Male,1997-12-24,TP. Hồ Chí Minh,Vietnam,Consumer,2023-05-19,1,2023-05-19 09:00:00,2023-05-19 09:00:00
92,CUST-00092,Nhi,Lý,nhi.ly3701@gmail.com,0864158331,Female,1958-11-07,Hà Nội,Vietnam,Consumer,2023-08-06,1,2023-08-06 09:00:00,2023-08-06 09:00:00
93,CUST-00093,Duy,Đoàn,duy.doan3067@hotmail.com,0353624341,Male,1998-04-23,Cần Thơ,Vietnam,Consumer,2023-06-21,0,2023-06-21 09:00:00,2023-06-21 09:00:00
94,CUST-00094,Thủy,Vũ,thủy.vũ5592@hotmail.com,0839902131,Female,1978-07-01,Hà Nội,Vietnam,Corporate,2024-08-05,1,2024-08-05 09:00:00,2024-08-05 09:00:00
95,CUST-00095,Phương,Phạm,phuong.phạm6915@hotmail.com,0936874033,Female,1974-02-01,Thái Nguyên,Vietnam,Consumer,2023-10-13,1,2023-10-13 09:00:00,2023-10-13 09:00:00
96,CUST-00096,Kiên,Huỳnh,kien.huynh2102@yahoo.com,0867183018,Other,2000-01-28,Hà Nội,Vietnam,Corporate,2024-02-15,1,2024-02-15 09:00:00,2024-02-15 09:00:00
97,CUST-00097,Hiếu,Tô,hieu.to4587@outlook.com,0798150895,Other,2003-04-26,Thái Bình,Vietnam,Home Office,2024-01-26,1,2024-01-26 09:00:00,2024-01-26 09:00:00
98,CUST-00098,Yến,Đoàn,yen.doan135@gmail.com,0367712771,Female,1980-04-27,Đà Lạt,Vietnam,Consumer,2024-05-28,1,2024-05-28 09:00:00,2024-05-28 09:00:00
99,CUST-00099,Lan,Ngô,lan.ngo1555@gmail.com,0935406278,Female,1990-09-24,Huế,Vietnam,Home Office,2023-01-27,1,2023-01-27 09:00:00,2023-01-27 09:00:00
100,CUST-00100,Diệu,Vũ,dieu.vũ7484@outlook.com,0867012045,Female,1964-01-01,Bình Dương,Vietnam,Consumer,2023-03-01,1,2023-03-01 09:00:00,2023-03-01 09:00:00
101,CUST-00101,Khánh,Vũ,khanh.vũ362@gmail.com,0902490748,Female,1993-04-21,Mỹ Tho,Vietnam,Consumer,2023-01-26,0,2023-01-26 09:00:00,2023-01-26 09:00:00
102,CUST-00102,Dũng,Lý,dũng.ly4768@yahoo.com,0831152192,Male,1984-01-19,Bắc Ninh,Vietnam,Corporate,2023-03-02,0,2023-03-02 09:00:00,2023-03-02 09:00:00
103,CUST-00103,Hiếu,Đặng,hieu.dang1116@yahoo.com,0357448519,Other,2000-04-07,TP. Hồ Chí Minh,Vietnam,Consumer,2023-06-24,1,2023-06-24 09:00:00,2023-06-24 09:00:00
104,CUST-00104,Hằng,Huỳnh,hằng.huynh7907@gmail.com,0705934104,Other,1995-02-03,Hà Nội,Vietnam,Corporate,2023-05-29,1,2023-05-29 09:00:00,2023-05-29 09:00:00
105,CUST-00105,Khải,Huỳnh,khải.huynh8791@gmail.com,0941832353,Male,1980-07-18,Hà Nội,Vietnam,Home Office,2024-06-10,1,2024-06-10 09:00:00,2024-06-10 09:00:00
106,CUST-00106,Hằng,Đoàn,hằng.doan2173@hotmail.com,0390161803,Female,1991-08-26,Hà Nội,Vietnam,Corporate,2023-02-25,0,2023-02-25 09:00:00,2023-02-25 09:00:00
107,CUST-00107,Khải,Phạm,khải.phạm6707@gmail.com,0566936240,Other,1965-11-21,Hải Phòng,Vietnam,Consumer,2023-12-05,1,2023-12-05 09:00:00,2023-12-05 09:00:00
108,CUST-00108,Diệu,Đinh,dieu.dinh1434@hotmail.com,0567291930,Female,1963-09-12,TP. Hồ Chí Minh,Vietnam,Corporate,2023-02-03,1,2023-02-03 09:00:00,2023-02-03 09:00:00
109,CUST-00109,Toàn,Bùi,toan.bui138@gmail.com,0563691559,Other,1973-05-16,Nam Định,Vietnam,Consumer,2023-05-15,1,2023-05-15 09:00:00,2023-05-15 09:00:00
110,CUST-00110,Quỳnh,Bùi,quynh.bui7045@hotmail.com,0795948637,Female,1991-06-11,Hải Phòng,Vietnam,Corporate,2023-06-19,0,2023-06-19 09:00:00,2023-06-19 09:00:00
111,CUST-00111,Hải,Võ,hải.võ7166@outlook.com,0938669327,Male,1964-08-22,Vũng Tàu,Vietnam,Consumer,2023-09-22,1,2023-09-22 09:00:00,2023-09-22 09:00:00
112,CUST-00112,Tùng,Hồ,tung.ho7872@outlook.com,0796505188,Male,1982-08-22,Đà Nẵng,Vietnam,Consumer,2023-04-09,1,2023-04-09 09:00:00,2023-04-09 09:00:00
113,CUST-00113,Tuấn,Đoàn,tuan.doan9841@yahoo.com,0565631140,Male,1971-01-17,Nam Định,Vietnam,Corporate,2023-03-31,0,2023-03-31 09:00:00,2023-03-31 09:00:00
114,CUST-00114,Hằng,Võ,hằng.võ8428@gmail.com,0369335838,Female,1999-02-01,Bắc Ninh,Vietnam,Consumer,2024-09-28,1,2024-09-28 09:00:00,2024-09-28 09:00:00
115,CUST-00115,Bích,Lê,bich.le6839@outlook.com,0334415264,Female,2005-11-05,TP. Hồ Chí Minh,Vietnam,Consumer,2024-05-27,1,2024-05-27 09:00:00,2024-05-27 09:00:00
116,CUST-00116,Duy,Tô,duy.to9221@gmail.com,0777560858,Male,1985-09-23,Hà Nội,Vietnam,Consumer,2023-10-13,1,2023-10-13 09:00:00,2023-10-13 09:00:00
117,CUST-00117,Mai,Vũ,mai.vũ8797@hotmail.com,0770776042,Female,1999-11-22,Huế,Vietnam,Corporate,2024-10-29,1,2024-10-29 09:00:00,2024-10-29 09:00:00
118,CUST-00118,Quỳnh,Nguyễn,quynh.nguyen4004@hotmail.com,0983136148,Female,1970-05-22,Đà Lạt,Vietnam,Consumer,2024-06-23,1,2024-06-23 09:00:00,2024-06-23 09:00:00
119,CUST-00119,Lâm,Vũ,lam.vũ2171@gmail.com,0393016234,Male,1972-12-04,Buôn Ma Thuột,Vietnam,Consumer,2024-10-29,1,2024-10-29 09:00:00,2024-10-29 09:00:00
120,CUST-00120,Thủy,Lê,thủy.le2432@yahoo.com,0900025121,Female,1983-06-17,TP. Hồ Chí Minh,Vietnam,Home Office,2023-12-08,1,2023-12-08 09:00:00,2023-12-08 09:00:00
121,CUST-00121,Linh,Nguyễn,linh.nguyen9143@gmail.com,0837962116,Other,1974-07-23,Đà Nẵng,Vietnam,Consumer,2023-02-11,1,2023-02-11 09:00:00,2023-02-11 09:00:00
122,CUST-00122,Quỳnh,Phạm,quynh.phạm2708@gmail.com,0337316808,Female,1975-03-08,Hà Nội,Vietnam,Corporate,2023-07-05,1,2023-07-05 09:00:00,2023-07-05 09:00:00
123,CUST-00123,Trang,Phan,trang.phan2628@hotmail.com,0901422007,Female,1984-12-17,Huế,Vietnam,Consumer,2024-03-28,1,2024-03-28 09:00:00,2024-03-28 09:00:00
124,CUST-00124,Vĩnh,Ngô,vĩnh.ngo8330@yahoo.com,0785031723,Male,1989-04-19,Nha Trang,Vietnam,Consumer,2023-07-28,1,2023-07-28 09:00:00,2023-07-28 09:00:00
125,CUST-00125,Hương,Nguyễn,huong.nguyen6881@yahoo.com,0837959514,Female,1974-05-20,Bình Dương,Vietnam,Consumer,2023-12-30,1,2023-12-30 09:00:00,2023-12-30 09:00:00
126,CUST-00126,Nam,Lê,nam.le6358@gmail.com,0569727328,Other,1987-10-16,TP. Hồ Chí Minh,Vietnam,Corporate,2023-05-07,0,2023-05-07 09:00:00,2023-05-07 09:00:00
127,CUST-00127,Linh,Phạm,linh.phạm5246@outlook.com,0830393038,Other,1981-05-07,Vinh,Vietnam,Home Office,2023-07-14,1,2023-07-14 09:00:00,2023-07-14 09:00:00
128,CUST-00128,Hiếu,Bùi,hieu.bui7418@outlook.com,0391329121,Other,1965-09-12,Hà Nội,Vietnam,Consumer,2023-07-28,1,2023-07-28 09:00:00,2023-07-28 09:00:00
129,CUST-00129,Khải,Dương,khải.duong5568@gmail.com,0774071732,Other,2003-12-19,Đà Nẵng,Vietnam,Consumer,2023-12-29,1,2023-12-29 09:00:00,2023-12-29 09:00:00
130,CUST-00130,Hoàng,Hoàng,hoang.hoang1288@hotmail.com,0581107603,Male,1995-01-16,Hà Nội,Vietnam,Corporate,2023-09-20,1,2023-09-20 09:00:00,2023-09-20 09:00:00
131,CUST-00131,Tâm,Nguyễn,tam.nguyen7320@outlook.com,0708638646,Male,1993-12-25,Bắc Ninh,Vietnam,Consumer,2023-04-27,0,2023-04-27 09:00:00,2023-04-27 09:00:00
132,CUST-00132,Ngọc,Dương,ngọc.duong9309@hotmail.com,0974662897,Female,1997-07-06,Nha Trang,Vietnam,Consumer,2024-06-18,1,2024-06-18 09:00:00,2024-06-18 09:00:00
133,CUST-00133,Vy,Đinh,vy.dinh7413@hotmail.com,0372957947,Female,1998-10-21,TP. Hồ Chí Minh,Vietnam,Consumer,2023-03-03,1,2023-03-03 09:00:00,2023-03-03 09:00:00
